INFO:root:Called with argument: Namespace(begin_epoch=0, dataset='PascalVOC', dataset_path='data/VOCdevkit', end_epoch=20, frequent=20, gpus='1', image_set='2007_trainval', kvstore='device', lr=0.001, lr_step='7', network='resnet', no_flip=False, no_shuffle=False, prefix='model/resnet-uav/e2e', pretrained='model/resnet-101', pretrained_epoch=0, resume=False, root_path='data', work_load_list=None)
INFO:root:{'ANCHOR_RATIOS': [0.5, 1, 2],
 'ANCHOR_SCALES': [8, 16, 32],
 'FIXED_PARAMS': ['conv0', 'stage1', 'gamma', 'beta'],
 'FIXED_PARAMS_SHARED': ['conv0',
                         'stage1',
                         'stage2',
                         'stage3',
                         'gamma',
                         'beta'],
 'IMAGE_STRIDE': 0,
 'NUM_ANCHORS': 9,
 'NUM_CLASSES': 3,
 'PIXEL_MEANS': array([0, 0, 0]),
 'RCNN_FEAT_STRIDE': 16,
 'RPN_FEAT_STRIDE': 16,
 'SCALES': [(600, 1000)],
 'TEST': {'BATCH_IMAGES': 1,
          'CXX_PROPOSAL': True,
          'ENABLE_DEFORMABLE_ROIPOOLING': False,
          'HAS_RPN': False,
          'NMS': 0.3,
          'PROPOSAL_MIN_SIZE': 16,
          'PROPOSAL_NMS_THRESH': 0.7,
          'PROPOSAL_POST_NMS_TOP_N': 2000,
          'PROPOSAL_PRE_NMS_TOP_N': 20000,
          'RPN_MIN_SIZE': 16,
          'RPN_NMS_THRESH': 0.7,
          'RPN_POST_NMS_TOP_N': 300,
          'RPN_PRE_NMS_TOP_N': 6000},
 'TRAIN': {'ASPECT_GROUPING': True,
           'BATCH_IMAGES': 1,
           'BATCH_ROIS': 128,
           'BATCH_ROIS_OHEM': 128,
           'BBOX_MEANS': [0.0, 0.0, 0.0, 0.0],
           'BBOX_NORMALIZATION_PRECOMPUTED': True,
           'BBOX_REGRESSION_THRESH': 0.5,
           'BBOX_STDS': [0.1, 0.1, 0.2, 0.2],
           'BBOX_WEIGHTS': array([ 1.,  1.,  1.,  1.]),
           'BG_THRESH_HI': 0.5,
           'BG_THRESH_LO': 0.0,
           'CXX_PROPOSAL': True,
           'ENABLE_DEFORMABLE_ROIPOOLING': False,
           'ENABLE_FOCALLOSS': False,
           'ENABLE_OHEM': False,
           'END2END': True,
           'FG_FRACTION': 0.25,
           'FG_THRESH': 0.5,
           'RPN_BATCH_SIZE': 256,
           'RPN_BBOX_WEIGHTS': [1.0, 1.0, 1.0, 1.0],
           'RPN_CLOBBER_POSITIVES': False,
           'RPN_FG_FRACTION': 0.5,
           'RPN_MIN_SIZE': 16,
           'RPN_NEGATIVE_OVERLAP': 0.3,
           'RPN_NMS_THRESH': 0.7,
           'RPN_POSITIVE_OVERLAP': 0.7,
           'RPN_POSITIVE_WEIGHT': -1.0,
           'RPN_POST_NMS_TOP_N': 2000,
           'RPN_PRE_NMS_TOP_N': 12000}}
INFO:root:voc_2007_trainval num_images 2263
INFO:root:voc_2007_trainval wrote gt roidb to data/cache/voc_2007_trainval_gt_roidb.pkl
INFO:root:voc_2007_trainval append flipped images to roidb
INFO:root:load data: filtered 12 roidb entries: 4526 -> 4514
INFO:root:providing maximum shape [('data', (1, 3, 600, 1000)), ('gt_boxes', (1, 100, 5))] [('label', (1, 21546)), ('bbox_target', (1, 36, 38, 63)), ('bbox_weight', (1, 36, 38, 63))]
INFO:root:output shape {'bbox_loss_reshape_output': (1L, 128L, 12L),
 'blockgrad0_output': (1L, 128L),
 'cls_prob_reshape_output': (1L, 128L, 3L),
 'rpn_bbox_loss_output': (1L, 36L, 36L, 63L),
 'rpn_cls_prob_output': (1L, 2L, 324L, 63L)}
INFO:root:lr 0.001000 lr_epoch_diff [7] lr_iters [31598]
[09:42:14] src/operator/././cudnn_algoreg-inl.h:112: Running performance tests to find the best convolution algorithm, this can take a while... (setting env variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
[09:42:28] src/operator/././cudnn_algoreg-inl.h:112: Running performance tests to find the best convolution algorithm, this can take a while... (setting env variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
INFO:root:Epoch[0] Batch [20]	Speed: 3.06 samples/sec	Train-RPNAcc=0.765439,	RPNLogLoss=0.502472,	RPNL1Loss=2.671298,	RCNNAcc=0.966890,	RCNNLogLoss=0.201803,	RCNNL1Loss=0.610765,	
INFO:root:Epoch[0] Batch [40]	Speed: 3.81 samples/sec	Train-RPNAcc=0.841463,	RPNLogLoss=0.360467,	RPNL1Loss=2.338817,	RCNNAcc=0.975610,	RCNNLogLoss=0.133607,	RCNNL1Loss=0.396630,	
INFO:root:Epoch[0] Batch [60]	Speed: 3.82 samples/sec	Train-RPNAcc=0.871542,	RPNLogLoss=0.300974,	RPNL1Loss=1.989606,	RCNNAcc=0.977459,	RCNNLogLoss=0.105392,	RCNNL1Loss=0.460338,	
INFO:root:Epoch[0] Batch [80]	Speed: 3.78 samples/sec	Train-RPNAcc=0.890287,	RPNLogLoss=0.261867,	RPNL1Loss=1.770576,	RCNNAcc=0.977045,	RCNNLogLoss=0.097750,	RCNNL1Loss=0.594990,	
INFO:root:Epoch[0] Batch [100]	Speed: 3.97 samples/sec	Train-RPNAcc=0.899985,	RPNLogLoss=0.242113,	RPNL1Loss=1.640066,	RCNNAcc=0.977336,	RCNNLogLoss=0.088068,	RCNNL1Loss=0.702641,	
INFO:root:Epoch[0] Batch [120]	Speed: 3.75 samples/sec	Train-RPNAcc=0.904378,	RPNLogLoss=0.227870,	RPNL1Loss=1.553552,	RCNNAcc=0.978499,	RCNNLogLoss=0.080580,	RCNNL1Loss=0.836378,	
INFO:root:Epoch[0] Batch [140]	Speed: 3.95 samples/sec	Train-RPNAcc=0.909824,	RPNLogLoss=0.217801,	RPNL1Loss=1.462623,	RCNNAcc=0.979111,	RCNNLogLoss=0.075546,	RCNNL1Loss=0.946877,	
INFO:root:Epoch[0] Batch [160]	Speed: 3.89 samples/sec	Train-RPNAcc=0.911830,	RPNLogLoss=0.209489,	RPNL1Loss=1.391127,	RCNNAcc=0.979037,	RCNNLogLoss=0.072698,	RCNNL1Loss=1.033479,	
INFO:root:Epoch[0] Batch [180]	Speed: 3.86 samples/sec	Train-RPNAcc=0.914667,	RPNLogLoss=0.204573,	RPNL1Loss=1.339821,	RCNNAcc=0.978980,	RCNNLogLoss=0.070432,	RCNNL1Loss=1.118507,	
INFO:root:Epoch[0] Batch [200]	Speed: 3.75 samples/sec	Train-RPNAcc=0.916919,	RPNLogLoss=0.196693,	RPNL1Loss=1.301323,	RCNNAcc=0.979516,	RCNNLogLoss=0.068601,	RCNNL1Loss=1.221086,	
INFO:root:Epoch[0] Batch [220]	Speed: 4.05 samples/sec	Train-RPNAcc=0.921150,	RPNLogLoss=0.190218,	RPNL1Loss=1.291187,	RCNNAcc=0.978825,	RCNNLogLoss=0.068713,	RCNNL1Loss=1.301252,	
INFO:root:Epoch[0] Batch [240]	Speed: 3.94 samples/sec	Train-RPNAcc=0.926154,	RPNLogLoss=0.182498,	RPNL1Loss=1.261558,	RCNNAcc=0.978961,	RCNNLogLoss=0.067242,	RCNNL1Loss=1.332768,	
INFO:root:Epoch[0] Batch [260]	Speed: 3.83 samples/sec	Train-RPNAcc=0.930960,	RPNLogLoss=0.172465,	RPNL1Loss=1.244454,	RCNNAcc=0.979167,	RCNNLogLoss=0.065167,	RCNNL1Loss=1.336757,	
INFO:root:Epoch[0] Batch [280]	Speed: 3.94 samples/sec	Train-RPNAcc=0.935165,	RPNLogLoss=0.162851,	RPNL1Loss=1.235449,	RCNNAcc=0.979120,	RCNNLogLoss=0.064795,	RCNNL1Loss=1.412646,	
INFO:root:Epoch[0] Batch [300]	Speed: 3.97 samples/sec	Train-RPNAcc=0.938538,	RPNLogLoss=0.155310,	RPNL1Loss=1.224330,	RCNNAcc=0.979080,	RCNNLogLoss=0.064181,	RCNNL1Loss=1.436088,	
INFO:root:Epoch[0] Batch [320]	Speed: 3.95 samples/sec	Train-RPNAcc=0.941674,	RPNLogLoss=0.147814,	RPNL1Loss=1.212432,	RCNNAcc=0.978510,	RCNNLogLoss=0.064208,	RCNNL1Loss=1.471726,	
INFO:root:Epoch[0] Batch [340]	Speed: 3.98 samples/sec	Train-RPNAcc=0.943995,	RPNLogLoss=0.142134,	RPNL1Loss=1.204434,	RCNNAcc=0.978441,	RCNNLogLoss=0.063934,	RCNNL1Loss=1.478859,	
INFO:root:Epoch[0] Batch [360]	Speed: 3.87 samples/sec	Train-RPNAcc=0.946178,	RPNLogLoss=0.136803,	RPNL1Loss=1.183078,	RCNNAcc=0.978489,	RCNNLogLoss=0.063388,	RCNNL1Loss=1.500760,	
INFO:root:Epoch[0] Batch [380]	Speed: 3.69 samples/sec	Train-RPNAcc=0.948081,	RPNLogLoss=0.132120,	RPNL1Loss=1.170949,	RCNNAcc=0.978798,	RCNNLogLoss=0.062723,	RCNNL1Loss=1.501973,	
INFO:root:Epoch[0] Batch [400]	Speed: 3.86 samples/sec	Train-RPNAcc=0.949940,	RPNLogLoss=0.127442,	RPNL1Loss=1.161798,	RCNNAcc=0.979173,	RCNNLogLoss=0.061721,	RCNNL1Loss=1.487171,	
INFO:root:Epoch[0] Batch [420]	Speed: 3.85 samples/sec	Train-RPNAcc=0.951937,	RPNLogLoss=0.122516,	RPNL1Loss=1.156866,	RCNNAcc=0.979068,	RCNNLogLoss=0.060946,	RCNNL1Loss=1.483586,	
INFO:root:Epoch[0] Batch [440]	Speed: 3.85 samples/sec	Train-RPNAcc=0.953515,	RPNLogLoss=0.118260,	RPNL1Loss=1.150702,	RCNNAcc=0.979308,	RCNNLogLoss=0.060085,	RCNNL1Loss=1.468687,	
INFO:root:Epoch[0] Batch [460]	Speed: 4.09 samples/sec	Train-RPNAcc=0.955303,	RPNLogLoss=0.113713,	RPNL1Loss=1.133176,	RCNNAcc=0.979206,	RCNNLogLoss=0.059828,	RCNNL1Loss=1.479746,	
INFO:root:Epoch[0] Batch [480]	Speed: 3.98 samples/sec	Train-RPNAcc=0.956650,	RPNLogLoss=0.109888,	RPNL1Loss=1.121980,	RCNNAcc=0.979064,	RCNNLogLoss=0.059258,	RCNNL1Loss=1.470283,	
INFO:root:Epoch[0] Batch [500]	Speed: 3.77 samples/sec	Train-RPNAcc=0.957749,	RPNLogLoss=0.107000,	RPNL1Loss=1.105323,	RCNNAcc=0.979401,	RCNNLogLoss=0.058207,	RCNNL1Loss=1.473500,	
INFO:root:Epoch[0] Batch [520]	Speed: 3.83 samples/sec	Train-RPNAcc=0.959236,	RPNLogLoss=0.103202,	RPNL1Loss=1.084753,	RCNNAcc=0.979502,	RCNNLogLoss=0.057622,	RCNNL1Loss=1.486609,	
INFO:root:Epoch[0] Batch [540]	Speed: 3.76 samples/sec	Train-RPNAcc=0.960389,	RPNLogLoss=0.100287,	RPNL1Loss=1.071411,	RCNNAcc=0.979581,	RCNNLogLoss=0.057275,	RCNNL1Loss=1.501539,	
INFO:root:Epoch[0] Batch [560]	Speed: 3.97 samples/sec	Train-RPNAcc=0.961641,	RPNLogLoss=0.097310,	RPNL1Loss=1.053380,	RCNNAcc=0.979584,	RCNNLogLoss=0.057045,	RCNNL1Loss=1.528295,	
INFO:root:Epoch[0] Batch [580]	Speed: 3.98 samples/sec	Train-RPNAcc=0.962524,	RPNLogLoss=0.094685,	RPNL1Loss=1.042876,	RCNNAcc=0.979198,	RCNNLogLoss=0.057775,	RCNNL1Loss=1.561014,	
INFO:root:Epoch[0] Batch [600]	Speed: 3.88 samples/sec	Train-RPNAcc=0.963583,	RPNLogLoss=0.091893,	RPNL1Loss=1.030005,	RCNNAcc=0.979305,	RCNNLogLoss=0.057662,	RCNNL1Loss=1.577902,	
INFO:root:Epoch[0] Batch [620]	Speed: 3.78 samples/sec	Train-RPNAcc=0.964391,	RPNLogLoss=0.089457,	RPNL1Loss=1.014981,	RCNNAcc=0.979381,	RCNNLogLoss=0.057726,	RCNNL1Loss=1.590780,	
INFO:root:Epoch[0] Batch [640]	Speed: 3.96 samples/sec	Train-RPNAcc=0.965252,	RPNLogLoss=0.087139,	RPNL1Loss=1.008542,	RCNNAcc=0.978903,	RCNNLogLoss=0.058514,	RCNNL1Loss=1.591135,	
INFO:root:Epoch[0] Batch [660]	Speed: 4.09 samples/sec	Train-RPNAcc=0.966191,	RPNLogLoss=0.084665,	RPNL1Loss=0.996548,	RCNNAcc=0.978418,	RCNNLogLoss=0.059365,	RCNNL1Loss=1.647903,	
INFO:root:Epoch[0] Batch [680]	Speed: 3.96 samples/sec	Train-RPNAcc=0.966886,	RPNLogLoss=0.082581,	RPNL1Loss=0.986141,	RCNNAcc=0.978088,	RCNNLogLoss=0.059802,	RCNNL1Loss=1.670336,	
INFO:root:Epoch[0] Batch [700]	Speed: 3.88 samples/sec	Train-RPNAcc=0.967513,	RPNLogLoss=0.080559,	RPNL1Loss=0.975814,	RCNNAcc=0.977688,	RCNNLogLoss=0.060335,	RCNNL1Loss=1.688708,	
INFO:root:Epoch[0] Batch [720]	Speed: 3.70 samples/sec	Train-RPNAcc=0.968279,	RPNLogLoss=0.078521,	RPNL1Loss=0.962365,	RCNNAcc=0.977884,	RCNNLogLoss=0.060030,	RCNNL1Loss=1.699920,	
